"id","title","description","link","price","availability","image_link","gtin","brand","expiration_date","shipping(country:region:price)","shipping(country:region:price)","shipping(country:region:price)","shipping(country:region:price)","shipping(country:region:price)","shipping(country:region:price)"
"B01","Vaddat överdrag för Beddinge 3-personers bäddsoffa Stripes","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-beddinge-striped-pattern/","119 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"B02","Täcke för 3-sitsig bäddsoffa Beddinge diamanter","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-beddinge-diamonds-pattern/","119 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E01","Överdrag för 2-sitsig soffa Ektorp utan sovfunktion","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-2-sofa/","216 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E04","Överdrag för fåtölj Ektorp","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-armchair/","139 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E05","Överdrag för Jennylund fåtölj","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-jennylund-armchair/","118 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E06","Överdrag för 4-sitsig hörnsoffa Ektorp","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-corner-sofa/","394 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E09","Överdrag för Ektorp fotpall","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-footstool/","98 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E10","Överdrag för 3-sitsig bäddsoffa Ektorp ny modell","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-3-new-model-sofa-bed/","256 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E11","Överdrag för fåtölj Tullsta","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-tullsta-armchair/","94 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg ",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
"E12","Överdrag för fåtölj Muren","Omslaget är noggrant tillverkat med omsorg om detaljerna. ","https://dagra.eu/en/product/cover-ektorp-muren-armchair/","138 EUR","in stock","https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg",,"DAGRA","2069-03-02T21:37+0100","AT::0 EUR","BE::5 EUR","FR::9 EUR","DE::0 EUR","SE::14 EUR","NL::3 EUR"
